Team,Games,W,L,Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,Opp 3FGAPG,Opp 3FGPG,Opp 3FG%,Rank,ASTPG,TOPG,Ratio
Grand Canyon (WAC),34,20,14,58.8,75.2,69.2,6.0,36.4,33.9,2.5,27,59,45.2,14.32,19.59,73.1,7.56,22.85,33.1,25,57,43.6,20.29,7.06,34.8,89,14.06,12.09,1.16
San Diego (WCC),36,21,15,58.3,72.0,68.2,3.8,34.4,31.9,2.5,25,56,45.7,13.31,17.81,74.7,7.89,22.44,35.1,24,55,43.9,17.67,5.83,33.0,116,14.33,12.92,1.11
Hawaii (Big West),31,18,13,58.1,72.3,68.7,3.5,34.0,32.5,1.5,25,56,45.1,12.87,18.58,69.3,8.58,24.23,35.4,25,56,44.8,19.26,6.55,34.0,43,15.42,11.87,1.3
Oregon St. (Pac-12),31,18,13,58.1,73.4,69.8,3.5,35.2,32.9,2.3,26,56,46.3,15.23,20.52,74.2,6.55,20.42,32.1,25,57,43.2,21.29,7.94,37.3,79,15.0,12.48,1.2
Georgetown (Big East),33,19,14,57.6,79.5,78.1,1.5,39.3,36.3,3.0,27,61,44.3,17.21,23.36,73.7,8.15,22.94,35.5,28,64,43.2,26.0,8.82,33.9,69,16.39,13.42,1.22
New Orleans (Southland),33,19,14,57.6,72.2,70.5,1.8,35.3,35.7,-0.4,26,59,44.4,14.27,20.64,69.2,5.73,17.15,33.4,25,56,43.8,19.12,6.12,32.0,235,15.06,15.67,0.96
UAB (C-USA),35,20,15,57.1,70.6,67.7,2.9,36.6,32.8,3.8,26,57,45.2,12.11,18.0,67.3,6.69,19.83,33.7,23,56,41.4,24.94,8.49,34.0,196,11.46,11.4,1.01
Ohio St. (Big Ten),35,20,15,57.1,69.1,66.2,2.9,34.7,33.5,1.3,24,55,43.4,13.63,18.57,73.4,7.54,22.11,34.1,23,55,42.2,20.63,6.74,32.7,107,14.11,12.54,1.13
Creighton (Big East),35,20,15,57.1,77.9,73.2,4.7,34.2,33.9,0.3,28,58,47.9,11.29,16.63,67.9,10.63,27.46,38.7,27,59,45.7,23.49,8.31,35.4,76,16.03,13.29,1.21
Bradley (MVC),35,20,15,57.1,66.5,65.3,1.3,34.1,33.2,0.9,23,54,43.3,13.29,19.2,69.2,6.86,18.66,36.8,22,54,41.2,21.51,7.03,32.7,240,12.09,12.6,0.96
Princeton (Ivy League),28,16,12,57.1,69.6,69.7,-0.1,36.3,35.8,0.5,24,60,41.1,13.25,17.93,73.9,7.39,24.25,30.5,25,59,43.2,21.18,6.86,32.4,310,10.54,12.64,0.83
Texas (Big 12),37,21,16,56.8,71.0,66.4,4.6,34.2,35.1,-0.9,25,58,43.3,12.03,17.22,69.9,8.78,25.24,34.8,24,56,42.3,20.16,7.14,35.4,72,13.14,10.84,1.21
Tulsa (AAC),32,18,14,56.3,71.8,71.0,0.8,34.9,37.0,-2.1,24,54,44.8,16.31,23.47,69.5,6.94,20.38,34.0,25,61,40.9,26.59,8.72,32.8,147,13.44,12.63,1.06
Presbyterian (Big South),36,20,16,55.6,78.3,72.5,5.8,34.7,35.5,-0.9,27,60,44.9,13.64,18.72,72.8,10.94,28.72,38.1,26,57,44.6,23.89,8.39,35.1,6,15.69,9.94,1.58
Florida (SEC),36,20,16,55.6,67.8,63.6,4.2,33.3,34.5,-1.2,24,56,42.5,12.08,16.75,72.1,8.08,24.22,33.4,22,53,42.1,20.28,6.42,31.6,166,12.14,11.67,1.04
Green Bay (Horizon),38,21,17,55.3,81.3,79.9,1.4,37.0,39.7,-2.7,29,64,45.8,15.13,21.53,70.3,7.97,23.11,34.5,28,64,44.5,25.55,8.55,33.5,90,15.18,13.08,1.16
UNLV (Mountain West),31,17,14,54.8,73.4,72.3,1.1,38.8,33.9,4.9,26,60,42.7,14.29,20.87,68.5,8.1,24.03,33.7,26,58,44.9,19.9,7.1,35.7,207,12.87,12.97,0.99
Utah (Pac-12),31,17,14,54.8,75.6,74.5,1.0,35.4,32.3,3.1,26,56,46.4,14.03,19.87,70.6,9.61,26.0,37.0,27,58,45.8,21.19,7.55,35.6,139,14.19,13.19,1.08
Weber St. (Big Sky),33,18,15,54.5,79.3,74.4,4.9,35.6,37.2,-1.6,28,59,47.6,16.0,21.45,74.6,7.55,20.73,36.4,27,63,42.8,20.73,6.52,31.4,208,11.61,11.7,0.99
Saint Francis (PA) (NEC),33,18,15,54.5,76.3,76.0,0.3,37.8,34.7,3.0,27,62,43.5,14.94,21.15,70.6,7.7,21.94,35.1,27,59,46.3,23.06,8.06,35.0,174,12.52,12.21,1.02
Seattle U (WAC),33,18,15,54.5,73.3,69.2,4.2,36.7,33.7,3.0,26,59,43.8,14.48,20.24,71.6,7.21,19.45,37.1,24,58,40.8,19.06,6.39,33.5,242,11.7,12.24,0.96
George Mason (Atlantic 10),33,18,15,54.5,70.1,69.4,0.8,35.3,33.5,1.8,25,56,44.5,13.76,19.21,71.6,6.36,19.3,33.0,25,57,43.9,22.42,7.18,32.0,254,12.09,12.97,0.93
Hartford (America East),33,18,15,54.5,75.1,72.9,2.1,31.8,35.2,-3.4,26,56,45.5,13.91,18.76,74.2,9.76,25.64,38.1,26,58,45.3,23.12,7.82,33.8,94,14.0,12.15,1.15
Purdue Fort Wayne (Summit League),33,18,15,54.5,82.7,77.5,5.2,34.5,36.1,-1.5,30,62,48.1,11.7,16.88,69.3,10.91,28.76,37.9,29,63,45.4,24.58,9.09,37.0,36,15.91,11.97,1.33
Rhode Island (Atlantic 10),33,18,15,54.5,69.5,67.8,1.6,36.2,34.5,1.6,25,58,42.9,14.52,21.33,68.0,5.21,18.64,28.0,23,55,42.6,20.76,6.7,32.3,209,12.15,12.27,0.99
Indiana (Big Ten),35,19,16,54.3,71.5,67.8,3.7,36.3,35.3,1.1,26,57,45.7,13.0,19.86,65.5,6.03,19.31,31.2,25,59,41.9,22.43,7.43,33.1,133,13.4,12.37,1.08
Xavier (Big East),35,19,16,54.3,72.2,70.6,1.5,36.7,32.1,4.6,26,56,46.6,12.49,18.4,67.9,7.0,21.14,33.1,26,59,43.2,25.11,8.94,35.6,111,14.83,13.26,1.12
North Dakota St. (Summit League),35,19,16,54.3,73.0,72.6,0.4,31.5,33.2,-1.7,25,55,45.4,13.6,17.51,77.7,9.49,26.0,36.5,27,58,46.1,20.6,7.46,36.2,128,11.49,10.54,1.09
ULM (Sun Belt),35,19,16,54.3,79.2,75.3,3.9,33.6,34.4,-0.8,26,58,45.4,16.46,21.06,78.2,10.09,25.46,39.6,27,60,45.5,23.63,8.34,35.3,60,14.23,11.37,1.25
UTRGV (WAC),37,20,17,54.1,71.2,70.9,0.3,32.8,38.8,-5.9,24,58,41.8,17.32,24.95,69.4,5.49,17.19,31.9,24,54,44.5,18.78,6.32,33.7,146,13.59,12.76,1.07
UTSA (C-USA),32,17,15,53.1,77.5,75.2,2.3,38.0,39.3,-1.3,28,65,43.3,12.34,16.75,73.7,9.19,26.72,34.4,26,62,42.8,24.56,7.97,32.4,162,13.13,12.56,1.04
Arizona (Pac-12),32,17,15,53.1,70.9,68.9,2.0,34.8,34.2,0.6,25,58,42.7,13.94,19.38,71.9,7.34,21.84,33.6,25,55,44.8,20.25,6.66,32.9,141,12.44,11.59,1.07
Southern Ill. (MVC),32,17,15,53.1,68.6,67.0,1.6,33.8,32.7,1.0,25,54,46.6,11.78,17.19,68.5,6.66,17.81,37.4,24,57,42.7,22.63,7.94,35.1,219,13.69,14.0,0.98
Arkansas (SEC),34,18,16,52.9,75.3,72.3,3.0,33.6,38.2,-4.6,26,59,44.6,15.12,22.62,66.8,7.62,22.09,34.5,24,57,42.4,23.85,7.94,33.3,75,15.97,13.24,1.21
Providence (Big East),34,18,16,52.9,71.4,69.8,1.6,36.3,34.9,1.4,25,58,42.3,15.68,22.68,69.1,6.62,20.29,32.6,25,57,43.3,21.21,7.24,34.1,123,14.44,13.09,1.1
N.C. Central (MEAC),34,18,16,52.9,71.4,66.6,4.8,37.4,30.8,6.6,26,57,45.5,13.53,18.85,71.8,6.5,20.38,31.9,24,56,43.5,19.76,6.26,31.7,182,15.47,15.18,1.02
St. Bonaventure (Atlantic 10),34,18,16,52.9,66.2,63.1,3.1,34.8,34.0,0.8,24,56,42.9,11.76,15.85,74.2,6.12,18.68,32.8,22,55,40.2,23.59,7.62,32.3,206,12.26,12.35,0.99
Alabama (SEC),34,18,16,52.9,72.0,71.6,0.4,37.8,34.9,2.9,25,57,44.0,14.47,21.74,66.6,7.18,21.12,34.0,26,60,43.5,19.71,6.56,33.3,275,12.29,13.68,0.9
Charleston So. (Big South),34,18,16,52.9,75.7,69.7,6.0,37.6,36.1,1.5,27,63,42.9,11.71,17.29,67.7,9.53,27.79,34.3,24,57,42.9,23.97,8.5,35.5,122,14.32,12.97,1.1
CSU Bakersfield (WAC),34,18,16,52.9,70.9,70.9,0.0,37.4,32.5,4.9,26,62,42.4,12.26,18.24,67.3,6.5,20.09,32.4,22,51,43.6,21.0,7.68,36.6,299,11.15,12.91,0.86
Nebraska (Big Ten),36,19,17,52.8,71.8,67.3,4.6,35.5,37.7,-2.3,25,59,42.9,13.44,19.28,69.7,7.5,22.22,33.8,24,58,42.1,19.83,6.58,33.2,26,12.94,9.58,1.35
DePaul (Big East),36,19,17,52.8,78.4,76.4,1.9,37.4,32.2,5.2,28,60,47.1,15.61,21.47,72.7,6.69,19.53,34.3,27,59,45.2,25.61,9.56,37.3,161,14.25,13.58,1.05
High Point (Big South),31,16,15,51.6,68.2,67.9,0.3,38.2,31.3,6.9,25,55,44.4,13.19,19.48,67.7,5.81,18.81,30.9,24,57,42.2,26.58,8.74,32.9,203,13.03,13.1,1.0
Santa Clara (WCC),31,16,15,51.6,68.2,70.1,-1.8,33.1,34.2,-1.0,24,53,44.5,13.1,18.29,71.6,7.71,21.39,36.0,25,57,43.2,19.71,6.23,31.6,237,13.42,13.97,0.96
Quinnipiac (MAAC),31,16,15,51.6,74.0,72.7,1.3,35.8,34.7,1.1,24,56,42.7,15.1,20.84,72.4,11.23,29.77,37.7,27,61,44.4,22.52,7.77,34.5,251,12.68,13.48,0.94
Rider (MAAC),31,16,15,51.6,76.8,75.3,1.5,36.9,36.3,0.6,27,61,44.7,15.0,24.35,61.6,7.16,21.0,34.1,26,57,45.9,24.84,8.9,35.8,135,14.52,13.42,1.08
St. Francis Brooklyn (NEC),33,17,16,51.5,71.1,70.3,0.8,36.1,37.5,-1.4,25,60,42.3,11.91,17.58,67.8,8.18,24.42,33.5,24,57,43.0,17.79,5.76,32.4,252,11.73,12.52,0.94
Delaware (CAA),33,17,16,51.5,71.3,72.1,-0.8,32.8,34.4,-1.6,25,55,45.9,12.42,17.09,72.7,8.55,22.61,37.8,26,59,44.3,22.27,8.21,36.9,108,12.88,11.45,1.12
Iona (MAAC),33,17,16,51.5,76.7,76.0,0.7,34.2,36.9,-2.8,26,57,45.2,15.79,21.18,74.5,9.0,25.61,35.1,27,61,44.5,25.97,9.52,36.6,154,13.09,12.39,1.06
Illinois St. (MVC),33,17,16,51.5,68.4,70.1,-1.7,34.5,35.0,-0.5,25,57,43.1,11.73,16.36,71.7,7.39,22.24,33.2,25,56,44.1,22.82,7.73,33.9,190,12.76,12.64,1.01
Samford (SoCon),33,17,16,51.5,78.3,75.4,2.9,37.1,36.7,0.4,28,59,47.2,14.76,20.18,73.1,7.7,20.82,37.0,26,63,41.8,27.97,9.88,35.3,202,13.97,14.03,1.0
Siena (MAAC),33,17,16,51.5,64.6,66.0,-1.4,29.5,33.5,-4.1,23,54,43.4,9.06,13.33,68.0,8.73,25.73,33.9,25,53,46.2,19.09,6.85,35.9,50,12.58,9.79,1.28
Southeastern La. (Southland),33,17,16,51.5,67.4,67.5,-0.1,33.8,31.0,2.9,23,53,44.1,13.91,19.39,71.7,7.12,21.09,33.8,23,53,44.2,18.48,6.09,33.0,305,13.7,16.24,0.84
UT Arlington (Sun Belt),33,17,16,51.5,69.2,69.8,-0.6,37.5,35.1,2.4,24,58,40.9,14.79,19.97,74.1,7.09,23.42,30.3,24,57,42.3,21.97,6.55,29.8,271,12.76,14.15,0.9
Akron (MAC),33,17,16,51.5,68.8,63.8,5.0,36.5,39.1,-2.6,24,59,40.9,11.52,16.33,70.5,9.0,28.15,32.0,23,58,39.6,22.24,6.52,29.3,172,12.09,11.76,1.03
UCLA (Pac-12),33,17,16,51.5,78.2,77.8,0.4,41.1,36.9,4.2,28,61,45.7,14.73,23.27,63.3,7.76,21.85,35.5,28,66,42.4,27.18,9.42,34.7,193,14.3,14.18,1.01
Fla. Atlantic (C-USA),33,17,16,51.5,70.4,68.0,2.4,39.2,35.7,3.6,25,60,41.0,12.55,16.7,75.1,8.79,27.12,32.4,24,59,41.1,24.06,7.58,31.5,296,12.7,14.67,0.87
Hampton (Big South),35,18,17,51.4,81.3,76.3,5.0,39.1,38.1,1.1,28,64,43.2,17.77,22.57,78.7,8.31,24.11,34.5,26,62,42.5,24.71,8.17,33.1,48,13.91,10.83,1.28
Robert Morris (NEC),35,18,17,51.4,69.9,68.7,1.3,33.7,33.0,0.7,25,57,43.2,12.74,18.23,69.9,8.0,22.54,35.5,23,52,44.8,19.89,6.77,34.1,238,13.91,14.49,0.96
Northern Ill. (MAC),34,17,17,50.0,73.7,71.0,2.7,34.7,33.5,1.2,28,59,47.1,11.68,15.97,73.1,6.74,18.88,35.7,24,55,43.3,24.76,8.85,35.7,257,11.0,11.91,0.92
Coastal Carolina (Sun Belt),34,17,17,50.0,77.7,74.1,3.6,36.9,33.1,3.9,26,58,45.3,16.44,22.88,71.9,8.35,22.53,37.1,25,57,43.4,25.65,8.26,32.2,245,13.26,13.91,0.95
Grambling (SWAC),34,17,17,50.0,71.4,68.7,2.6,37.9,36.6,1.2,25,54,45.2,15.74,22.97,68.5,6.56,16.26,40.3,23,59,39.0,21.26,6.35,29.9,326,12.35,15.74,0.79
Howard (MEAC),34,17,17,50.0,78.9,78.3,0.7,36.9,39.7,-2.9,28,64,43.3,16.65,22.94,72.6,7.18,19.68,36.5,27,62,43.5,23.65,8.18,34.6,131,13.62,12.56,1.08
South Alabama (Sun Belt),34,17,17,50.0,72.9,72.5,0.4,32.1,35.4,-3.2,26,55,46.0,13.5,19.68,68.6,8.38,22.38,37.5,25,57,44.9,20.56,7.26,35.3,170,13.85,13.41,1.03
Southern Utah (Big Sky),34,17,17,50.0,75.7,75.5,0.2,36.8,36.5,0.2,26,59,44.1,15.85,22.26,71.2,8.0,23.5,34.0,26,60,43.0,22.82,8.09,35.4,262,12.53,13.71,0.91
Portland St. (Big Sky),32,16,16,50.0,77.3,75.1,2.2,40.0,33.1,7.0,27,63,42.4,16.41,23.38,70.2,7.44,24.03,30.9,26,55,46.3,19.91,6.91,34.7,228,13.56,14.03,0.97
South Carolina (SEC),32,16,16,50.0,72.7,72.4,0.3,36.3,36.4,-0.1,25,60,42.3,14.78,21.69,68.2,7.56,20.69,36.6,24,57,42.3,22.5,7.66,34.0,244,12.91,13.53,0.95
UIC (Horizon),32,16,16,50.0,74.7,74.5,0.2,34.6,36.9,-2.3,27,59,45.9,11.19,16.41,68.2,9.47,26.75,35.4,25,59,41.9,22.28,7.59,34.1,168,14.94,14.38,1.04
LIU (NEC),32,16,16,50.0,74.2,73.0,1.1,37.4,37.2,0.2,26,59,43.7,14.13,20.09,70.3,8.66,25.41,34.1,26,61,42.3,19.81,6.53,33.0,266,13.44,14.75,0.91
Missouri St. (MVC),32,16,16,50.0,68.9,67.4,1.5,31.3,31.7,-0.4,24,54,45.2,13.56,19.59,69.2,7.0,20.28,34.5,23,52,45.2,19.06,7.5,39.3,260,11.06,12.03,0.92
American (Patriot),30,15,15,50.0,72.0,69.0,3.0,33.8,33.3,0.5,26,55,47.4,13.7,19.63,69.8,6.33,19.43,32.6,25,57,43.7,17.33,5.07,29.2,165,13.4,12.87,1.04
Butler (Big East),33,16,17,48.5,71.9,70.8,1.1,32.0,34.3,-2.3,26,59,44.5,10.91,14.79,73.8,8.85,25.06,35.3,25,54,45.7,21.3,7.61,35.7,74,13.15,10.88,1.21
Holy Cross (Patriot),33,16,17,48.5,67.2,69.6,-2.4,27.8,36.1,-8.3,26,56,46.2,8.58,12.85,66.7,7.18,20.3,35.4,25,55,45.7,23.73,8.85,37.3,10,15.55,10.61,1.47
IUPUI (Horizon),33,16,17,48.5,76.0,73.5,2.4,37.4,32.8,4.6,27,60,45.2,14.88,21.18,70.2,7.09,21.06,33.7,26,58,44.8,23.0,8.36,36.4,181,14.27,14.0,1.02
Oakland (Horizon),33,16,17,48.5,76.7,76.2,0.5,32.2,35.8,-3.6,26,56,46.4,14.91,20.09,74.2,9.52,24.73,38.5,28,61,46.1,22.39,7.82,34.9,21,17.58,12.94,1.36
North Florida (ASUN),33,16,17,48.5,75.3,76.7,-1.4,37.9,38.2,-0.3,27,61,44.8,11.3,16.33,69.2,9.33,27.18,34.3,28,66,43.4,19.12,6.48,33.9,223,15.76,16.24,0.97
Ball St. (MAC),33,16,17,48.5,75.1,71.6,3.5,37.7,35.5,2.2,27,57,47.0,15.09,21.48,70.2,6.12,18.82,32.5,26,62,41.4,21.73,6.91,31.8,283,12.91,14.55,0.89
UConn (AAC),33,16,17,48.5,73.8,71.3,2.5,35.5,34.6,0.9,26,59,44.6,13.21,19.42,68.0,7.64,22.18,34.4,25,56,43.9,18.79,6.3,33.5,212,12.79,12.94,0.99
Southern California (Pac-12),33,16,17,48.5,76.3,73.0,3.3,35.9,37.8,-1.8,28,62,46.0,11.0,17.06,64.5,8.52,22.27,38.2,26,62,42.6,23.85,7.97,33.4,20,16.24,11.88,1.37
Indiana St. (MVC),31,15,16,48.4,69.2,71.5,-2.3,32.5,34.6,-2.1,24,55,44.0,14.65,20.03,73.1,5.74,15.84,36.3,25,55,45.1,20.65,7.03,34.1,301,11.03,12.97,0.85
Sacramento St. (Big Sky),31,15,16,48.4,70.9,69.5,1.4,33.9,34.0,-0.1,26,58,44.8,13.23,19.1,69.3,5.65,17.0,33.2,24,54,44.3,20.48,7.35,35.9,144,13.9,13.03,1.07
Stanford (Pac-12),31,15,16,48.4,72.7,71.8,0.9,37.0,34.9,2.2,26,58,45.3,13.94,20.74,67.2,6.68,21.06,31.7,26,61,43.2,16.61,5.74,34.6,309,12.65,15.13,0.84
Cornell (Ivy League),31,15,16,48.4,69.3,71.3,-2.0,32.7,37.4,-4.7,24,55,44.2,12.84,17.77,72.2,7.84,23.58,33.2,27,61,43.9,20.61,6.74,32.7,126,14.61,13.32,1.1
Pepperdine (WCC),34,16,18,47.1,75.6,74.4,1.3,31.9,35.4,-3.5,25,57,44.4,15.56,20.47,76.0,9.21,24.09,38.2,26,56,46.5,22.41,7.71,34.4,120,14.09,12.74,1.11
UNI (MVC),34,16,18,47.1,65.1,65.6,-0.4,32.7,32.8,-0.1,23,54,41.6,11.79,15.79,74.7,8.12,23.29,34.8,23,53,44.0,20.32,6.85,33.7,249,10.91,11.56,0.94
Cal St. Fullerton (Big West),34,16,18,47.1,71.7,71.0,0.7,36.0,35.6,0.4,26,56,45.4,15.12,21.35,70.8,5.5,17.32,31.7,25,60,42.6,19.88,6.26,31.5,270,11.97,13.26,0.9
Longwood (Big South),34,16,18,47.1,70.8,70.8,0.0,35.1,34.1,1.0,24,55,42.8,13.76,18.79,73.2,9.79,27.62,35.5,24,57,41.7,27.94,9.41,33.7,306,11.79,14.03,0.84
Eastern Wash. (Big Sky),34,16,18,47.1,72.4,74.3,-2.0,35.1,35.3,-0.2,26,60,42.9,11.71,16.06,72.9,9.12,26.06,35.0,26,57,45.2,22.53,8.56,38.0,88,13.74,11.79,1.16
Missouri (SEC),32,15,17,46.9,67.2,67.8,-0.6,35.3,31.5,3.8,24,55,43.0,11.56,16.44,70.3,8.25,22.72,36.3,23,54,42.9,21.88,6.97,31.9,323,11.06,14.0,0.79
SMU (AAC),32,15,17,46.9,72.0,70.3,1.7,35.7,34.4,1.3,26,59,44.2,11.69,16.34,71.5,8.22,24.13,34.1,25,58,42.8,23.78,8.34,35.1,58,13.78,10.97,1.26
Sacred Heart (NEC),32,15,17,46.9,79.9,78.4,1.5,38.5,34.1,4.4,28,60,46.0,17.03,22.56,75.5,7.59,21.28,35.7,28,63,44.3,23.91,8.88,37.1,189,14.72,14.53,1.01
Montana St. (Big Sky),32,15,17,46.9,78.2,79.8,-1.6,33.8,34.3,-0.5,27,59,45.6,15.0,20.34,73.7,9.56,25.56,37.4,29,60,48.4,26.53,9.94,37.5,62,15.34,12.31,1.25
Canisius (MAAC),32,15,17,46.9,70.3,74.3,-3.9,31.7,35.9,-4.2,25,57,43.5,12.44,17.97,69.2,8.0,24.72,32.4,26,56,46.9,20.75,7.47,36.0,104,14.56,12.88,1.13
Miami (OH) (MAC),32,15,17,46.9,70.8,69.8,1.1,37.2,34.4,2.8,24,58,42.1,13.88,19.56,70.9,8.41,26.03,32.3,25,57,43.2,23.28,7.75,33.3,303,10.91,12.91,0.85
UMass Lowell (America East),32,15,17,46.9,76.8,75.6,1.1,34.8,35.2,-0.3,27,58,47.2,14.38,19.97,72.0,7.69,22.53,34.1,27,61,45.2,21.63,6.72,31.1,110,15.63,13.97,1.12
Eastern Mich. (MAC),32,15,17,46.9,68.8,69.2,-0.3,36.1,34.6,1.6,26,57,44.9,11.88,18.88,62.9,5.84,19.81,29.5,25,57,43.0,24.28,8.28,34.1,311,11.53,13.84,0.83
SFA (Southland),30,14,16,46.7,70.2,72.0,-1.9,33.6,35.0,-1.4,25,57,43.9,13.8,20.23,68.2,6.7,19.6,34.2,25,56,43.5,24.7,9.03,36.6,325,11.6,14.73,0.79
Boston U. (Patriot),33,15,18,45.5,72.3,72.3,-0.1,33.1,31.2,1.9,28,58,47.9,9.7,14.18,68.4,6.7,19.36,34.6,26,55,47.1,21.91,7.52,34.3,156,13.55,12.85,1.05
Valparaiso (MVC),33,15,18,45.5,66.8,66.3,0.5,33.7,32.8,0.9,24,54,45.0,12.61,18.03,69.9,5.61,17.73,31.6,24,55,43.2,19.55,6.48,33.2,211,13.06,13.21,0.99
Nicholls (Southland),31,14,17,45.2,72.9,74.3,-1.4,33.6,40.0,-6.4,26,62,42.1,10.39,13.48,77.0,10.45,28.52,36.7,27,60,44.3,20.52,6.39,31.1,117,13.81,12.45,1.11
Boston College (ACC),31,14,17,45.2,70.8,72.8,-1.9,36.7,38.6,-1.9,25,58,42.5,14.26,20.42,69.8,7.03,22.16,31.7,26,61,41.9,24.84,7.94,31.9,194,12.32,12.23,1.01
Bethune-Cookman (MEAC),31,14,17,45.2,73.9,72.4,1.5,41.1,37.7,3.4,27,61,43.8,13.55,22.23,61.0,6.58,20.48,32.1,25,61,41.3,21.9,6.61,30.2,284,14.32,16.16,0.89
Ohio (MAC),31,14,17,45.2,70.1,73.8,-3.7,37.3,36.1,1.1,26,59,43.7,12.29,19.42,63.3,6.03,20.42,29.5,26,60,43.6,23.45,8.39,35.8,197,14.55,14.48,1.0
Rutgers (Big Ten),31,14,17,45.2,67.9,68.8,-0.9,39.0,34.9,4.2,25,59,41.9,12.0,18.84,63.7,6.16,19.74,31.2,24,57,42.5,21.84,7.71,35.3,241,12.58,13.16,0.96
William & Mary (CAA),31,14,17,45.2,74.9,76.9,-2.1,34.2,34.2,0.0,27,57,47.4,12.42,18.58,66.8,8.19,23.71,34.6,27,60,45.8,22.0,8.23,37.4,27,17.06,12.65,1.35
Long Beach St. (Big West),34,15,19,44.1,74.9,76.0,-1.1,37.1,39.1,-2.0,26,60,43.2,16.88,24.44,69.1,6.38,18.53,34.4,28,63,44.4,22.26,7.29,32.8,312,11.74,14.12,0.83
A&M-Corpus Christi (Southland),32,14,18,43.8,66.4,66.4,0.1,36.2,32.7,3.6,24,56,42.9,11.75,16.91,69.5,6.31,19.41,32.5,22,53,41.0,21.59,7.47,34.6,256,13.22,14.25,0.93
FGCU (ASUN),32,14,18,43.8,71.3,73.8,-2.5,33.2,35.5,-2.3,25,56,45.3,12.28,18.38,66.8,8.41,22.63,37.2,27,60,44.2,24.53,9.0,36.7,253,14.03,15.03,0.93
Texas A&M (SEC),32,14,18,43.8,70.4,71.8,-1.4,37.3,36.3,1.0,25,58,43.7,13.66,19.72,69.3,6.38,20.72,30.8,26,61,42.2,26.22,8.69,33.1,304,11.75,13.91,0.84
Pacific (WCC),32,14,18,43.8,66.8,70.0,-3.2,32.5,31.0,1.5,22,53,42.2,16.25,21.81,74.5,6.19,17.69,35.0,24,51,46.4,22.13,7.94,35.9,332,10.16,13.31,0.76
Georgia Tech (ACC),32,14,18,43.8,65.3,66.6,-1.2,33.5,36.0,-2.6,24,54,44.0,12.66,18.38,68.9,5.5,17.91,30.7,23,58,40.0,21.78,6.47,29.7,250,13.53,14.34,0.94
Penn St. (Big Ten),32,14,18,43.8,69.7,68.6,1.0,36.6,34.4,2.3,25,59,41.7,13.28,19.16,69.3,6.94,21.66,32.0,24,55,44.1,18.38,6.5,35.4,220,12.16,12.47,0.97
Air Force (Mountain West),32,14,18,43.8,68.1,71.7,-3.6,33.7,33.5,0.2,25,56,45.2,10.66,15.72,67.8,7.31,22.22,32.9,26,57,45.1,26.28,9.34,35.6,173,13.56,13.22,1.03
New Mexico (Mountain West),32,14,18,43.8,76.3,76.7,-0.3,37.6,37.3,0.3,25,60,42.2,16.34,23.28,70.2,9.13,26.41,34.6,27,60,45.1,20.25,7.19,35.5,218,13.94,14.25,0.98
Miami (FL) (ACC),32,14,18,43.8,71.8,71.1,0.7,33.2,36.2,-3.0,25,58,43.5,13.09,17.81,73.5,8.38,25.16,33.3,27,59,45.1,23.25,8.13,34.9,118,12.91,11.66,1.11
Eastern Ill. (OVC),32,14,18,43.8,71.8,76.8,-4.9,35.8,37.1,-1.2,26,60,43.2,11.72,17.03,68.8,8.5,22.97,37.0,27,59,45.3,24.06,9.25,38.4,185,13.56,13.34,1.02
Wagner (NEC),30,13,17,43.3,65.8,68.1,-2.3,36.5,33.6,2.9,22,57,38.6,14.27,19.17,74.4,7.87,25.77,30.5,22,51,43.0,21.17,7.37,34.8,302,11.7,13.8,0.85
South Dakota (Summit League),30,13,17,43.3,70.6,71.2,-0.6,31.4,34.1,-2.6,24,55,43.8,14.43,19.5,74.0,7.57,22.2,34.1,25,56,45.0,20.37,7.27,35.7,84,12.73,10.8,1.18
Saint Joseph's (Atlantic 10),33,14,19,42.4,70.5,72.6,-2.1,34.5,37.1,-2.6,24,59,40.8,14.0,18.64,75.1,8.48,26.33,32.2,26,59,43.7,26.03,9.36,36.0,44,12.03,9.27,1.3
Pittsburgh (ACC),33,14,19,42.4,69.9,68.7,1.2,36.7,36.8,-0.1,23,56,41.8,16.45,23.61,69.7,6.82,20.61,33.1,24,58,40.9,23.42,7.88,33.6,297,11.73,13.58,0.86
Central Ark. (Southland),33,14,19,42.4,72.2,75.7,-3.5,35.2,37.9,-2.7,25,58,42.6,14.76,20.21,73.0,8.36,23.76,35.2,26,60,43.8,24.33,8.45,34.7,225,14.03,14.48,0.97
James Madison (CAA),33,14,19,42.4,70.4,73.0,-2.6,34.0,33.2,0.8,25,56,44.2,13.24,18.39,72.0,7.36,20.3,36.3,26,57,46.0,19.94,6.97,35.0,239,12.21,12.73,0.96
Notre Dame (ACC),33,14,19,42.4,68.7,69.0,-0.3,36.6,39.0,-2.4,24,60,39.3,13.39,18.0,74.4,8.24,26.15,31.5,26,61,42.9,22.33,7.39,33.1,18,12.82,9.27,1.38
